index,sensor_id,latitude,longitude,mean_speed,congestion_rate,prediction_mae,congestion_level
0,773869,34.15497,-118.31829,0.058379717,0.1840607210626186,0.17403745651245117,Medium
1,767541,34.11621,-118.23799,0.22854517,0.10042329586921617,0.13434189558029175,Medium
2,767542,34.11641,-118.23819,0.24155396,0.14727776966866152,0.1554146409034729,Medium
3,717447,34.07248,-118.26772,-0.31359756,0.22069770836374253,0.18631993234157562,Medium
4,717446,34.07142,-118.26572,-0.58375055,0.5879433659319807,0.2529677152633667,Critical
5,717445,34.06913,-118.25932,-0.30475906,0.25777258794336594,0.2357124239206314,High
6,773062,34.05368,-118.23369,-0.11701786,0.26331922347102615,0.18735560774803162,High
7,767620,34.13486,-118.22932,0.17149866,0.09823383447671873,0.1330796629190445,Low
8,737529,34.20264,-118.47352,0.016162064,0.14859144650415998,0.21085822582244873,Medium
9,717816,34.15562,-118.4686,-0.18052086,0.3081301999708072,0.21056944131851196,High
10,765604,34.16415,-118.38223,0.031713683,0.13107575536418042,0.1498037725687027,Medium
11,767471,34.15691,-118.22469,0.087202944,0.12917822215734928,0.17387694120407104,Medium
12,716339,34.07821,-118.28795,-0.98196244,0.6120274412494526,0.22808535397052765,Critical
13,773906,34.1566,-118.30266,0.09562935,0.1615822507663115,0.19069254398345947,Medium
14,765273,34.18949,-118.47437,-0.18015638,0.21062618595825428,0.24362967908382416,Medium
15,716331,34.07006,-118.26246,-0.50678617,0.5501386658881915,0.24268746376037598,Critical
16,771667,34.07314,-118.23388,-1.4259543,0.9995621077215006,0.16774220764636993,Critical
17,716337,34.07732,-118.28186,-0.12797098,0.20361990950226244,0.19829504191875458,Medium
18,769953,34.20672,-118.19992,-0.21425481,0.18318493650561962,0.16389694809913635,Medium
19,769402,34.12095,-118.33911,-0.080358095,0.22639030798423587,0.16778938472270966,Medium
20,769403,34.12073,-118.33928,0.17917462,0.1666909940154722,0.18041667342185974,Medium
21,769819,34.20584,-118.19803,0.0012531461,0.14508830827616406,0.16167892515659332,Medium
22,769405,34.12634,-118.34482,-0.53456515,0.33630126988760767,0.17132219672203064,High
23,716941,34.05767,-118.21435,-0.34805325,0.2671142898846884,0.26766595244407654,High
24,717578,34.15478,-118.27076,0.1682196,0.14596409283316303,0.17048324644565582,Medium
25,716960,34.12121,-118.27164,-0.38166815,0.34783243322142754,0.2905905544757843,High
26,717804,34.09478,-118.47605,-0.3123969,0.29309589840899136,0.24770145118236542,High
27,767572,34.12967,-118.22871,0.099426135,0.09852576266238505,0.13321159780025482,Low
28,767573,34.12964,-118.22901,0.31346714,0.12582104802218655,0.15034808218479156,Medium
29,773012,34.0839,-118.22086,-0.6106595,0.7447088016347978,0.1602969467639923,Critical
30,773013,34.08374,-118.22076,-0.0463425,0.1461100569259962,0.27580907940864563,Medium
31,764424,34.17878,-118.39469,0.062350076,0.16610713764413954,0.1851278692483902,Medium
32,769388,34.11027,-118.33441,0.09904863,0.1623120712304773,0.22049245238304138,Medium
33,716328,34.06664,-118.25397,-0.10270219,0.20551744270909356,0.18683840334415436,Medium
34,717819,34.18784,-118.47407,0.17364392,0.16479346080864107,0.1797293871641159,Medium
35,769941,34.20699,-118.20237,0.015947036,0.14640198511166252,0.1636502593755722,Medium
36,760987,34.15359,-118.34043,0.200166,0.14114727776966865,0.20979627966880798,Medium
37,718204,34.15541,-118.29575,0.11810951,0.20172237629543133,0.1678331345319748,Medium
38,718045,34.06712,-118.23973,-0.6034787,0.40578017807619327,0.32965782284736633,Critical
39,769418,34.12659,-118.34465,-0.10267252,0.18858560794044665,0.16258251667022705,Medium
40,768066,34.15118,-118.3748,0.052455626,0.21237775507225223,0.17913101613521576,Medium
41,772140,34.16498,-118.47493,-0.17299536,0.3415559772296015,0.20109330117702484,High
42,773927,34.15262,-118.28034,-0.069127075,0.2555831265508685,0.2101193070411682,High
43,760024,34.1593,-118.46483,-0.36004242,0.34856225368559335,0.22628164291381836,High
44,774012,34.14769,-118.20137,0.31236413,0.10290468544737995,0.1380346417427063,Medium
45,774011,34.14747,-118.20123,0.3022058,0.10100715224054882,0.14447782933712006,Medium
46,767609,34.18555,-118.21733,-0.022913948,0.13560064224200846,0.1669343113899231,Medium
47,769359,34.1566,-118.42216,-0.34459093,0.38884834330754636,0.24617592990398407,High
48,760650,34.07505,-118.23256,-0.42699453,0.2914902933878266,0.20994386076927185,High
49,716956,34.10658,-118.25544,-0.10326655,0.18479054152678442,0.20141184329986572,Medium
50,769831,34.20663,-118.20101,-0.056167766,0.15355422566048751,0.16573189198970795,Medium
51,761604,34.15407,-118.28711,-0.5561524,0.49467231061158956,0.2874574363231659,Critical
52,717495,34.15664,-118.41326,-0.20457838,0.36388848343307545,0.24805040657520294,High
53,716554,34.15597,-118.2666,-0.20087278,0.20785286819442417,0.2020808756351471,Medium
